,last_reported,station_id,Available bikes,Mechanical bikes,Ebike,weekday,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,Latlon,Barri,Districte,Municipi
0,2020-01-01,1,29.239583333333332,28.76736111111111,0.4722222222222222,Wednesday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
1,2020-01-02,1,20.37847222222222,19.32638888888889,1.0520833333333333,Thursday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
2,2020-01-03,1,25.20138888888889,23.836805555555557,1.3645833333333333,Friday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
3,2020-01-04,1,7.482638888888889,7.222222222222222,0.2604166666666667,Saturday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
4,2020-01-05,1,12.427083333333334,11.899305555555555,0.5277777777777778,Sunday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
5,2020-01-06,1,22.88888888888889,22.63888888888889,0.25,Monday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
6,2020-01-07,1,21.399305555555557,20.25347222222222,1.1458333333333333,Tuesday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
7,2020-01-08,1,17.48263888888889,16.92013888888889,0.5625,Wednesday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
8,2020-01-09,1,9.993055555555555,9.378472222222221,0.6145833333333334,Thursday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
9,2020-01-10,1,9.07638888888889,18.444444444444443,0.3472222222222222,Friday,"GRAN VIA CORTS CATALANES, 760",ELECTRICBIKESTATION,41.3979779,2.1801068999999997,16,"GRAN VIA CORTS CATALANES, 760",8013,46,"41.3979779,2.1801068999999997",el Fort Pienc,Eixample,Barcelona
