station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,Latlon,Barri,Districte,Municipi
36,"AV. DE LA CATEDRAL, 6",ELECTRICBIKESTATION,41.3850616,2.1766834,8,"AV. DE LA CATEDRAL, 6",8002,21,"41.38506160000001,2.1766834",el Gòtic,Ciutat Vella,Barcelona
53,PL. CARLES PI I SUNYER,ELECTRICBIKESTATION,41.385086,2.174016,10,PL. CARLES PI I SUNYER,8002,21,"41.385086,2.174016",el Gòtic,Ciutat Vella,Barcelona
55,"LA RAMBLA, 80",ELECTRICBIKESTATION,41.3814279,2.1732861,8,"LA RAMBLA, 80",8002,19,"41.3814279,2.1732861",el Gòtic,Ciutat Vella,Barcelona
57,"RAMBLA, 2",ELECTRICBIKESTATION,41.3768761,2.1772251,4,"RAMBLA, 2",8002,25,"41.3768761,2.1772251",el Gòtic,Ciutat Vella,Barcelona
126,PG. DE COLOM /VIA LAIETANA,ELECTRICBIKESTATION,41.380628,2.1821916,4,PG. DE COLOM /VIA LAIETANA,8002,23,"41.380628,2.1821916",el Gòtic,Ciutat Vella,Barcelona
361,PG. DE COLOM (LES RAMBLES),ELECTRICBIKESTATION,41.376433,2.17871,5,PG. DE COLOM (LES RAMBLES),8039,33,"41.376433,2.1787099999999997",el Gòtic,Ciutat Vella,Barcelona
377,PL. ICTÍNEO,ELECTRICBIKESTATION,41.3776292,2.1836886,2,PL. ICTÍNEO,8039,29,"41.3776292,2.1836886000000004",el Gòtic,Ciutat Vella,Barcelona
378,"PL. JOAQUIM XIRAU I PALAU, 1",ELECTRICBIKESTATION,41.3785379,2.1767427,5,"PL. JOAQUIM XIRAU I PALAU, 1",8002,21,"41.3785379,2.1767427",el Gòtic,Ciutat Vella,Barcelona
380,"C/ DURAN I BAS, 2",ELECTRICBIKESTATION,41.3854094,2.1740155,11,"C/ DURAN I BAS, 2",8002,24,"41.3854094,2.1740155",el Gòtic,Ciutat Vella,Barcelona
402,PG. DE COLOM (VIA LAIETANA),ELECTRICBIKESTATION,41.380628,2.1821916,4,PG. DE COLOM (VIA LAIETANA),8002,31,"41.380628,2.1821916",el Gòtic,Ciutat Vella,Barcelona
410,PG.DE COLOM (LES RAMBLES),ELECTRICBIKESTATION,41.376433,2.17871,5,PG.DE COLOM (LES RAMBLES),8039,38,"41.376433,2.1787099999999997",el Gòtic,Ciutat Vella,Barcelona
50,"AV. PARAL.LEL, 54",ELECTRICBIKESTATION,41.3751145,2.1709386,8,"AV. PARAL.LEL, 54",8004,18,"41.3751145,2.1709386000000004",el Raval,Ciutat Vella,Barcelona
51,PL. VICENÇ MARTORELL,ELECTRICBIKESTATION,41.3842634,2.1692556,12,PL. VICENÇ MARTORELL,8001,20,"41.384263399999995,2.1692556",el Raval,Ciutat Vella,Barcelona
54,"C/ SANT OLEGUER, 2",ELECTRICBIKESTATION,41.3775319,2.1707321,6,"C/ SANT OLEGUER, 2",8001,19,"41.377531899999994,2.1707321",el Raval,Ciutat Vella,Barcelona
56,"PORTAL DE SANTA MADRONA, 2-4",ELECTRICBIKESTATION,41.3770715,2.1758261,5,"PORTAL DE SANTA MADRONA, 2-4",8001,27,"41.3770715,2.1758261",el Raval,Ciutat Vella,Barcelona
58,PLAÇA DELS ÀNGELS ( MACBA ),ELECTRICBIKESTATION,41.38268,2.16712,11,PLAÇA DELS ÀNGELS ( MACBA ),8001,43,"41.38268,2.16712",el Raval,Ciutat Vella,Barcelona
114,"PL. JEAN GENET,  1",ELECTRICBIKESTATION,41.376735,2.1740082,5,"PL. JEAN GENET,  1",8001,20,"41.376735,2.1740082000000003",el Raval,Ciutat Vella,Barcelona
187,"C/ DE SANT PAU, 89 - 97",ELECTRICBIKESTATION,41.3768806,2.1698206,5,"C/ DE SANT PAU, 89 - 97",8001,19,"41.37688060000001,2.1698206",el Raval,Ciutat Vella,Barcelona
245,"LA RAMBLA, 101",ELECTRICBIKESTATION,41.3826647,2.1717083,10,"LA RAMBLA, 101",8002,27,"41.38266470000001,2.1717082999999997",el Raval,Ciutat Vella,Barcelona
375,WORLD TRADE CENTER,ELECTRICBIKESTATION,41.3720293,2.1804468,3,WORLD TRADE CENTER,8039,39,"41.372029299999994,2.1804468",el Raval,Ciutat Vella,Barcelona
376,WORLD  TRADE CENTER,ELECTRICBIKESTATION,41.3718728,2.180302,3,WORLD  TRADE CENTER,8039,39,"41.37187279999999,2.180302",el Raval,Ciutat Vella,Barcelona
381,"C/ AGUSTÍ DURAN I SANPERE, 10",ELECTRICBIKESTATION,41.3816139,2.1677697,10,"C/ AGUSTÍ DURAN I SANPERE, 10",8001,41,"41.3816139,2.1677697",el Raval,Ciutat Vella,Barcelona
388,"C/ RIERA ALTA, 6",ELECTRICBIKESTATION,41.3806411,2.1671611,10,"C/ RIERA ALTA, 6",8001,35,"41.380641100000005,2.1671611",el Raval,Ciutat Vella,Barcelona
415,"RAMBLA DEL RAVAL, 13",ELECTRICBIKESTATION,41.3793558,2.1689592,8,"RAMBLA DEL RAVAL, 13",8001,25,"41.3793558,2.1689592",el Raval,Ciutat Vella,Barcelona
416,"RAMBLA DEL RAVAL, 20",ELECTRICBIKESTATION,41.3781065,2.1696744,6,"RAMBLA DEL RAVAL, 20",8001,27,"41.3781065,2.1696744",el Raval,Ciutat Vella,Barcelona
425,"C/ DE CERVELLÓ, 5",ELECTRICBIKESTATION,41.3765618,2.1748621,5,"C/ DE CERVELLÓ, 5",8001,24,"41.3765618,2.1748621",el Raval,Ciutat Vella,Barcelona
427,"C/ DE SANT PAU, 119/ RONDA SANT PAU",ELECTRICBIKESTATION,41.3754047,2.1680021,9,"C/ DE SANT PAU, 119/ RONDA SANT PAU",8001,26,"41.375404700000004,2.1680021000000003",el Raval,Ciutat Vella,Barcelona
11,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",ELECTRICBIKESTATION,41.3812425,2.1933482,7,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",8003,21,"41.3812425,2.1933482000000004",la Barceloneta,Ciutat Vella,Barcelona
12,"PG. MARITIM, 23 (HOSPITAL DEL MAR)",ELECTRICBIKESTATION,41.3833653,2.1946255,7,"PG. MARITIM, 23 (HOSPITAL DEL MAR)",8003,26,"41.3833653,2.1946255",la Barceloneta,Ciutat Vella,Barcelona
31,PL. DEL MAR,ELECTRICBIKESTATION,41.3748001,2.1889045,4,PL. DEL MAR,8003,18,"41.3748001,2.1889045",la Barceloneta,Ciutat Vella,Barcelona
32,LA BARCELONETA (CN BARCELONETA),ELECTRICBIKESTATION,41.3736911,2.188928,4,LA BARCELONETA (CN BARCELONETA),8003,15,"41.3736911,2.1889279999999998",la Barceloneta,Ciutat Vella,Barcelona
33,C/ PONTEVEDRA / JUDICI,ELECTRICBIKESTATION,41.37686,2.19067,4,C/ PONTEVEDRA / JUDICI,8003,21,"41.37686,2.19067",la Barceloneta,Ciutat Vella,Barcelona
39,PL. PAU VILA (D),ELECTRICBIKESTATION,41.381046,2.186576,4,PL. PAU VILA (D),8039,44,"41.381046000000005,2.1865759999999996",la Barceloneta,Ciutat Vella,Barcelona
40,"C/ DOCTOR AIGUADER, 2",ELECTRICBIKESTATION,41.382335,2.187093,6,"C/ DOCTOR AIGUADER, 2",8039,18,"41.382335,2.187093",la Barceloneta,Ciutat Vella,Barcelona
41,PL. POETA BOSCÀ/ATLÀNTIDA,ELECTRICBIKESTATION,41.379326,2.189906,5,PL. POETA BOSCÀ/ATLÀNTIDA,8003,25,"41.379326,2.189906",la Barceloneta,Ciutat Vella,Barcelona
116,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT",ELECTRICBIKESTATION,41.3838369,2.1914756,5,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT PAPASSEIT",8003,27,"41.3838369,2.1914756",la Barceloneta,Ciutat Vella,Barcelona
124,C/ NOVA  BOCANA,ELECTRICBIKESTATION,41.3702483,2.1878126,3,C/ NOVA  BOCANA,8039,31,"41.37024829999999,2.1878126",la Barceloneta,Ciutat Vella,Barcelona
125,"PG. MARíTIM, 31 B (ANNEXA A LA  12)",ELECTRICBIKESTATION,41.3833653,2.1946255,7,"PG. MARíTIM, 31 B (ANNEXA A LA  12)",8003,21,"41.3833653,2.1946255",la Barceloneta,Ciutat Vella,Barcelona
398,PG. MARÍTIM DE LA BARCELONETA/ANDREA DÒ,ELECTRICBIKESTATION,41.380955,2.1934636,4,PG. MARÍTIM DE LA BARCELONETA/ANDREA DÒRIA,8003,35,"41.380955,2.1934636000000003",la Barceloneta,Ciutat Vella,Barcelona
